zone_id,zone_code
1,1101
2,1102
3,1103
4,1104
5,1105
6,1106
7,1107
8,1108
9,1109
10,1110
11,1111
12,1112
13,1113
14,1114
15,1115
16,1116
17,1117
18,1118
19,1119
20,1120
21,1121
22,1122
23,1123
24,1124
25,1125
26,1126
27,1201
28,1202
29,1203
30,1204
31,1205
32,1206
33,1207
34,1208
35,1209
36,1210
37,1211
38,1212
39,1213
40,1214
41,1215
42,1216
43,1217
44,1218
45,1220
46,1301
47,1302
48,1303
49,1304
50,1305
51,1306
52,1307
53,1308
54,1309
55,1310
56,1311
57,1312
58,1313
59,1314
60,1315
61,1316
62,1317
63,1318
64,1319
65,1320
66,1321
67,1322
68,1323
69,1324
70,1325
71,1326
72,1327
73,1328
74,1329
75,1330
76,1401
77,1403
78,1404
79,1405
80,1406
81,1407
82,1408
83,1409
84,1410
85,1411
86,1412
87,1413
88,1414
89,1415
90,1416
91,1417
92,1418
93,1419
94,1420
95,1421
96,1501
97,1502
98,1503
99,1504
100,1505
101,1506
102,1507
103,1508
104,1509
105,1510
106,1511
107,1512
108,1513
109,1514
110,1515
111,1516
112,1517
113,1518
114,1519
115,1520
116,1521
117,1522
118,1523
119,1524
120,1525
121,1526
122,1527
123,1601
124,1602
125,1603
126,1604
127,1605
128,1606
129,1607
130,1608
131,1609
132,1610
133,1611
134,1612
135,1613
136,1701
137,1702
138,1703
139,1704
140,1705
141,1706
142,1707
143,1708
144,1709
145,1710
146,1711
147,1712
148,1713
149,1714
150,1715
151,1716
152,1717
153,1718
154,1719
155,1720
156,1721
157,1722
158,1723
159,1724
160,1725
161,1726
162,1727
163,1801
164,1802
165,1803
166,1804
167,1805
168,1806
169,1807
170,1808
171,1809
172,1810
173,1811
174,1812
175,1813
176,1814
177,1815
178,1816
179,1817
180,1818
181,1901
182,1902
183,1903
184,1904
185,1905
186,1906
187,1907
188,1908
189,1909
190,1910
191,1911
192,1912
193,1913
194,1914
195,1915
196,1916
197,1917
198,1919
199,1920
200,1921
201,1922
202,1923
203,1924
204,1925
205,1926
206,1927
207,1928
208,1929
209,1930
210,1931
211,1932
212,1933
213,1934
214,1935
215,1936
216,1937
217,1939
218,2001
219,2002
220,2003
221,2004
222,2005
223,2006
224,2008
225,2009
226,2010
227,2011
228,2012
229,2013
230,2014
231,2015
232,2016
233,2017
234,2018
235,2019
236,2020
237,2021
238,2022
239,2023
240,2024
241,2025
242,2026
243,2027
244,2028
245,2029
246,2030
247,2031
248,2032
249,2033
250,2034
251,2035
252,2037
253,2038
254,2039
255,2040
256,2041
257,2042
258,2043
259,2044
260,2045
261,2048
262,2101
263,2102
264,2103
265,2104
266,2105
267,2106
268,2107
269,2108
270,2109
271,2110
272,2111
273,2113
274,2115
275,2116
276,2117
277,2118
278,2119
279,2120
280,2121
281,2122
282,2123
283,2125
284,2126
285,2127
286,2201
287,2202
288,2203
289,2204
290,2205
291,2206
292,2207
293,2208
294,2209
295,2210
296,2211
297,2212
