Fuel type,Engine capacity,Standart,COLD,%Taxi,% CAR,70-Motorway - City- Freeflow,80-Motorway - City- Freeflow,90-Motorway - City- Freeflow,70-Motorway - City-Heavy,80-Motorway - City-Heavy,90-Motorway - City-Heavy,70-Motorway - City- Stop & Go,80-Motorway - City- Stop & Go,90-Motorway - City- Stop & Go,50-Distributor / Secondary- Freeflow,60-Distributor / Secondary- Freeflow,70-Distributor / Secondary- Freeflow,50-Distributor / Secondary- Heavy,60-Distributor / Secondary- Heavy,70-Distributor / Secondary- Heavy,50-Distributor / Secondary- Stop & Go,60-Distributor / Secondary- Stop & Go,70-Distributor / Secondary- Stop & Go,30-Access Residential-Freeflow,40-Access Residential-Freeflow,50-Access Residential-Freeflow,30-Access Residential-Heavy,40-Access Residential-Heavy,50-Access Residential-Heavy,30-Access Residential- Stop & Go,40-Access Residential- Stop & Go,50-Access Residential- Stop & Go,90- National- Freeflow,100- National- Freeflow,110- National- Freeflow,90- National- Heavy,100- National- Heavy,110- National- Heavy,90- National- Stop & Go,100- National- Stop & Go,110- National- Stop & Go
Petrol,>2000 cc,Euro 1,37.046992,0,0.0005,205.95,223.35,239.23,250.3,218.09,227.77,611.37,480.31,480.31,286.57,260.5,240.8,298.84,294.39,272.11,611.37,611.37,509.52,373.54,297.33,274.42,373.54,328.58,339.51,611.37,611.37,611.37,229.93,239.88,273.31,225.12,238.43,251.27,480.31,480.31,480.31
Petrol,>2000 cc,Euro 2,37.046992,0,0.0011,194.25,210.74,225.82,236.02,205.71,214.92,572.58,449.92,449.92,269.57,245.34,227.09,280.74,276.84,256.2,572.58,572.58,477.19,350.57,279.31,258.18,350.35,308.34,318.82,572.58,572.58,572.58,217.07,226.51,258.07,212.46,225.1,237.26,449.92,449.92,449.92
Petrol,>2000 cc,Euro 3,37.046992,0,0.0031,184.22,199.94,214.33,223.77,195.1,203.91,539.17,423.74,423.74,254.98,232.33,215.34,265.18,261.76,242.54,539.17,539.17,449.34,330.8,263.82,244.22,330.39,290.93,301.02,539.17,539.17,539.17,206.07,215.06,245.03,201.62,213.68,225.27,423.74,423.74,423.74
Petrol,>2000 cc,Euro 4,37.046992,0,0.0157,178.78,194.12,208.17,217.1,189.36,197.97,519.49,408.36,408.36,246.79,225.14,208.96,256.31,253.26,234.96,519.49,519.49,432.95,319.42,254.99,236.41,318.81,280.88,290.82,519.49,519.49,519.49,200.18,208.96,238.07,195.79,207.58,218.87,408.36,408.36,408.36
Petrol,>2000 cc,Euro 5,37.046992,0,0.0145,172.81,187.71,201.37,209.79,183.04,191.44,498.48,391.92,391.92,237.89,217.29,201.95,246.73,244.05,226.7,498.48,498.48,415.44,307.16,245.45,227.91,306.38,270.08,279.84,498.48,498.48,498.48,193.68,202.2,230.38,189.37,200.83,211.8,391.92,391.92,391.92
Petrol,>2000 cc,Euro 6,37.046992,0.0175,0.0225,167.45,181.92,195.2,203.25,177.37,185.54,481.24,378.4,378.4,230.2,210.39,195.67,238.58,236.11,219.47,481.24,481.24,401.07,296.87,237.35,220.56,296.01,261.01,270.54,481.24,481.24,481.24,187.76,196.04,223.36,183.55,194.7,205.35,378.4,378.4,378.4
Diesel,<1400 cc,Euro 0,21.727459,0,0,148.71,155.52,170.08,179.6,152.32,162.41,389.34,308.32,308.32,203.98,185.38,170.03,211.89,208.68,187.83,389.34,389.34,369.86,288.97,219.88,196.69,277.67,234.78,236.29,389.34,389.34,389.34,161.81,165.47,182.16,164.6,164.67,174.6,308.32,308.32,308.32
Diesel,<1400 cc,Euro 1,21.727459,0,0,71.74,75.04,82.08,86.62,73.48,78.36,187.43,148.43,148.43,98.31,89.38,82.01,102.09,100.57,90.55,187.43,187.43,178.05,139.19,105.94,94.8,133.72,113.08,113.83,187.43,187.43,187.43,78.1,79.87,87.93,79.43,79.48,84.28,148.43,148.43,148.43
Diesel,<1400 cc,Euro 2,21.727459,0,0,65.73,68.77,75.24,79.35,67.32,71.82,171.37,135.73,135.73,90,81.84,75.14,93.42,92.06,82.91,171.37,171.37,162.8,127.34,96.94,86.79,122.32,103.45,104.16,171.37,171.37,171.37,71.6,73.23,80.62,72.8,72.86,77.28,135.73,135.73,135.73
Diesel,<1400 cc,Euro 3,21.727459,0,0,71.77,75.1,82.19,86.63,73.51,78.43,186.73,147.89,147.89,98.18,89.31,82.03,101.88,100.42,90.47,186.73,186.73,177.38,138.83,105.72,94.68,133.33,112.79,113.57,186.73,186.73,186.73,78.22,80.01,88.09,79.52,79.6,84.43,147.89,147.89,147.89
Diesel,<1400 cc,Euro 4,21.727459,0,0,84.12,88.05,96.38,101.52,86.17,91.95,218.4,172.99,172.99,114.98,104.63,96.14,119.27,117.59,105.98,218.4,218.4,207.48,162.48,123.76,110.89,156.02,132,132.94,218.4,218.4,218.4,91.73,93.85,103.32,93.24,93.35,99.03,172.99,172.99,172.99
Diesel,<1400 cc,Euro 5,21.727459,0.0021,0.0005,80.03,83.8,91.75,96.57,81.99,87.51,207.36,164.26,164.26,109.3,99.49,91.47,113.34,111.77,100.77,207.36,207.36,196.99,154.36,117.61,105.41,148.19,125.39,126.32,207.36,207.36,207.36,87.33,89.35,98.37,88.75,88.87,94.29,164.26,164.26,164.26
Diesel,<1400 cc,Euro 6,21.727459,0.0036,0.0003,76.59,80.2,87.82,92.41,78.46,83.75,198.23,157.03,157.03,104.55,95.18,87.53,108.39,106.91,96.4,198.23,198.23,188.31,147.6,112.47,100.83,141.69,119.9,120.8,198.23,198.23,198.23,83.6,85.54,94.17,84.94,85.07,90.26,157.03,157.03,157.03
Diesel,1400-2000 cc,Euro 0,21.727459,0,0,129.06,134.97,147.6,155.86,132.18,140.94,337.88,267.57,267.57,177.02,160.88,147.55,183.88,181.1,163,337.88,337.88,320.97,250.78,190.82,170.69,240.97,203.75,205.06,337.88,337.88,337.88,140.42,143.6,158.08,142.85,142.9,151.53,267.57,267.57,267.57
Diesel,1400-2000 cc,Euro 1,21.727459,0,0,124.74,130.48,142.73,150.62,127.77,136.26,325.91,258.1,258.1,170.95,155.41,142.61,177.52,174.88,157.45,325.91,325.91,309.6,242.03,184.21,164.84,232.52,196.64,197.94,325.91,325.91,325.91,135.8,138.89,152.9,138.12,138.2,146.56,258.1,258.1,258.1
Diesel,1400-2000 cc,Euro 2,21.727459,0,0.0001,114.29,119.58,130.84,137.98,117.07,124.88,297.99,236.01,236.01,156.5,142.32,130.65,162.45,160.07,144.17,297.99,297.99,283.08,221.43,168.57,150.91,212.69,179.89,181.11,297.99,297.99,297.99,124.5,127.34,140.19,126.6,126.7,134.37,236.01,236.01,236.01
Diesel,1400-2000 cc,Euro 3,21.727459,0,0.0016,107.99,113.02,123.69,130.36,110.62,118.03,280.99,222.55,222.55,147.75,134.4,123.44,153.31,151.11,136.14,280.99,280.99,266.93,208.92,159.09,142.48,200.64,169.72,170.91,280.99,280.99,280.99,117.71,120.41,132.55,119.67,119.79,127.05,222.55,222.55,222.55
Diesel,1400-2000 cc,Euro 4,21.727459,0.0013,0.0065,109.54,114.66,125.51,132.2,112.21,119.74,284.41,225.27,225.27,149.73,136.25,125.2,155.31,153.12,138,284.41,284.41,270.17,211.58,161.16,144.39,203.16,171.88,173.12,284.41,284.41,284.41,119.45,122.21,134.54,121.42,121.57,128.96,225.27,225.27,225.27
Diesel,1400-2000 cc,Euro 5,21.727459,0.0607,0.0078,104.69,109.62,120.02,126.33,107.25,114.47,271.26,214.87,214.87,142.98,130.15,119.65,148.26,146.21,131.82,271.26,271.26,257.68,201.92,153.84,137.89,193.85,164.03,165.24,271.26,271.26,271.26,114.24,116.89,128.68,116.09,116.26,123.34,214.87,214.87,214.87
Diesel,1400-2000 cc,Euro 6,21.727459,0.7057,0.0382,99.98,104.69,114.64,120.63,102.42,109.33,258.77,204.98,204.98,136.48,124.25,114.26,141.49,139.56,125.84,258.77,258.77,245.82,192.68,146.82,131.63,184.96,156.52,157.69,258.77,258.77,258.77,109.13,111.66,122.92,110.89,111.05,117.82,204.98,204.98,204.98
Diesel,>2000 cc,Euro 0,21.727459,0,0,176.96,185.06,202.39,213.71,181.25,193.26,463.3,366.89,366.89,242.72,220.59,202.32,252.14,248.32,223.5,463.3,463.3,440.11,343.86,261.64,234.05,330.41,279.38,281.17,463.3,463.3,463.3,192.54,196.9,216.76,195.87,195.94,207.77,366.89,366.89,366.89
Diesel,>2000 cc,Euro 1,21.727459,0,0.0001,171.04,178.91,195.71,206.53,175.19,186.84,446.88,353.91,353.91,234.4,213.1,195.54,243.41,239.78,215.89,446.88,446.88,424.51,331.87,252.58,226.03,318.83,269.62,271.41,446.88,446.88,446.88,186.21,190.44,209.65,189.39,189.5,200.95,353.91,353.91,353.91
Diesel,>2000 cc,Euro 2,21.727459,0,0.0011,156.71,163.97,179.4,189.2,160.52,171.23,408.6,323.61,323.61,214.58,195.14,179.14,222.75,219.49,197.68,408.6,408.6,388.15,303.61,231.14,206.93,291.64,246.66,248.34,408.6,408.6,408.6,170.71,174.61,192.22,173.59,173.72,184.25,323.61,323.61,323.61
Diesel,>2000 cc,Euro 3,21.727459,0,0.0043,143.8,150.49,164.69,173.57,147.29,157.15,374.14,296.33,296.33,196.73,178.96,164.37,204.14,201.21,181.28,374.14,374.14,355.42,278.17,211.83,189.71,267.15,225.99,227.57,374.14,374.14,374.14,156.73,160.32,176.5,159.34,159.49,169.17,296.33,296.33,296.33
Diesel,>2000 cc,Euro 4,21.727459,0.0021,0.0065,149.06,156.04,170.8,179.9,152.7,162.95,387.04,306.57,306.57,203.76,185.41,170.37,211.36,208.38,187.8,387.04,387.04,367.67,287.94,219.32,196.5,276.48,233.91,235.59,387.04,387.04,387.04,162.56,166.31,183.09,165.24,165.43,175.49,306.57,306.57,306.57
Diesel,>2000 cc,Euro 5,21.727459,0.0271,0.0048,139.2,145.74,159.57,167.96,142.6,152.2,360.66,285.69,285.69,190.11,173.04,159.08,197.12,194.4,175.26,360.66,360.66,342.61,268.47,204.55,183.34,257.74,218.09,219.7,360.66,360.66,360.66,151.89,155.41,171.09,154.36,154.57,163.99,285.69,285.69,285.69
Diesel,>2000 cc,Euro 6,21.727459,0.0628,0.0073,130.56,136.72,149.71,157.53,133.75,142.78,337.93,267.69,267.69,178.24,162.26,149.21,184.78,182.25,164.34,337.93,337.93,321.02,251.63,191.74,171.9,241.55,204.41,205.93,337.93,337.93,337.93,142.51,145.82,160.53,144.81,145.03,153.87,267.69,267.69,267.69
LPG,<1400 cc,Euro 0,0,0,0,125.32,136.56,146.97,151.78,132.81,139.3,339.84,267.66,267.66,29.87,28.78,23.2,172.92,172.55,161.97,339.84,339.84,283.23,213.4,171.99,161.77,211.66,187.46,195.41,339.84,339.84,339.84,141.56,148.01,168.63,138.03,146.79,155.03,267.66,267.66,267.66
